property_code,be_department_slug,be_department,be_section,dept_code,account,account_name,pl_line,section,original_class,pct_variable,map_source,excluded_from_be,source_rows
AMA,rooms,Rooms,PAYROLL,0110,6000,Salary and Wages,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:6000
AMA,rooms,Rooms,PAYROLL,0110,6001,Overtime,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:6001
AMA,rooms,Rooms,PAYROLL,0110,6002,Day Off,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:6002
AMA,rooms,Rooms,PAYROLL,0110,6003,Working Holiday,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:6003
AMA,rooms,Rooms,PAYROLL,0110,6010,Commissions,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:6010
AMA,rooms,Rooms,PAYROLL,0110,6020,Social Security,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:6020
AMA,rooms,Rooms,PAYROLL,0110,6021,Christmas bonus,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:6021
AMA,rooms,Rooms,PAYROLL,0110,6022,Work Risk Policy,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:6022
AMA,rooms,Rooms,PAYROLL,0110,6023,Vacations Accrual,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:6023
AMA,rooms,Rooms,PAYROLL,0110,6024,Vacations Taken,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:6024
AMA,rooms,Rooms,PAYROLL,0110,6025,Cafeteria,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:6025
AMA,rooms,Rooms,PAYROLL,0110,6026,Notice and Severance Pay,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:6026
AMA,rooms,Rooms,PAYROLL,0110,6027,Incentive Bonus,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:6027
AMA,rooms,Rooms,PAYROLL,0110,6028,Housing,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:6028
AMA,rooms,Rooms,PAYROLL,0110,6029,Employee Transportation,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:6029
AMA,rooms,Rooms,PAYROLL,0110,6030,Employee Benefit Others,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:6030
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7065,Cleaning Supplies,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7065
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7070,Cluster Services,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7070
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7080,Commissions,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7080
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7085,Commissions and Fees—Group,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7085
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7090,Complimentary Food and Beverage,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7090
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7095,Complimentary In-Room/Media Entertainment,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7095
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7100,Complimentary Services and Gifts,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7100
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7105,Contract Services,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7105
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7110,Corporate Office Reimbursables,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7110
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7125,Decorations,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7125
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7150,Dues and Subscriptions,OPEX_ROOMS,OPERATING EXPENSES,Fixed Cost,0.0,GL,false,CWL 0116:7150
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7175,Entertainment—In-House,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7175
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7185,Equipment Rental,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7185
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7245,Guest Relocation,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7245
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7250,Guest Supplies,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7250
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7255,Guest Transportation,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7255
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7310,Laundry and Dry Cleaning,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7310
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7335,Licenses and Permits,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7335
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7350,Linen,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7350
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7380,Miscellaneous,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7380
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7400,Operating Supplies,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7400
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7485,Postage and Overnight Delivery Charges,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7485
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7490,Printing and Stationery,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7490
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7525,Reservations,OPEX_ROOMS,OPERATING EXPENSES,Fixed Cost,0.0,GL,false,CWL 0116:7525
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7530,Royalty Fees,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7530
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7665,Training,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7665
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7670,Travel—Meals and Entertainment,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7670
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7675,Travel—Other,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7675
AMA,rooms,Rooms,OPERATING EXPENSES,0110,7680,Uniform Costs,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL 0116:7680
